id;country;description;designation;points;price;province;taster_name;title;variety;winery;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
1;Portugal;This is ripe and fruity, a wine that is smooth while still structured, Firm tannins are filled out with juicy red berry fruits and freshened with acidity, It's  already drinkable, although it will certainly be better from 2016,;Avidagos;87;15;Douro;Kerin O’Keefe;Quinta dos Avidagos 2011 Avidagos Red (Douro);Portuguese Red;Quinta dos Avidagos;10;0.29;0.4;2.9;0.098;10;26;10.006;3.48;0.91;9.7
2;Portugal;From an estate in the south of the Alentejo, this is a rich, hot-country wine, It is firm, densely structured and with solid, dark tannins, There is a juicy black fruit background to this dense wine that gives a lift, Still young, this dark and very concentrated wine will be better from 2018,;Grande Reserva Tinto;91;26;Alentejano;Roger Voss;Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano);Portuguese Red;Casa Santa Vitória;8.3;0.26;0.37;1.4;0.076;8;23;0.9974;3.26;0.7;9.6
3;Portugal;A year in wood and 30 months in bottle before release have allowed this attractive wine to fully develop its solid yet smooth texture, It has concentration, layers of bright black currant fruit and vibrant acidity, Ready to drink,;Montes Claros Garrafeira;90;28;Alentejo;Paul Gregutt;Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo);Portuguese Red;Adega Cooperativa de Borba;7;0.69;0.07;2.5;0.091;15;21;0.99572;3.38;0.6;11.3
4;Portugal;Wood aging gives this ripe blend of Baga and Touriga Nacional its richness and density, It's full of black fruit, toast and a touch of pepper, With ripe tannins and crisp acidity, it can easily age another year, Drink from 2018,;;90;20;Beira Atlantico;Alexander Peartree;Quinta de Foz de Arouce 2013 Red (Beira Atlantico);Portuguese Red;Quinta de Foz de Arouce;7;0.69;0.07;2.5;0.091;15;21;0.99572;3.38;0.6;11.3
5;Portugal;A powerful wine, richly structured and full of ripe fruits, It has a solid feel to it, firmly anchored to its dark tannins as well as lightened by the juicy berry flavors, A blend that includes Cabernet Sauvignon and Syrah, it needs serious aging, so don't drink before 2017,;Gerações Colheita Seleccionada;92;34;Alentejano;Paul Gregutt;Herdade Grande 2010 Gerações Colheita Seleccionada Red (Alentejano);Portuguese Red;Herdade Grande;8;0.48;0.34;2.2;0.073;16;25;0.9936;3.28;0.66;12.4
6;Portugal;This is a new wine from the hands of master winemaker Luis Duarte, With its rich black fruits and dense tannins, it's also a wine that is firmly structured, Wood aging has added a layer of complexity and broadened out the fruits and dark tannins, Drink from 2017,;Monte de Carrapatelo Colheita Seleccionada Tinto;92;30;Alentejano;Michael Schachner;Luis Duarte 2013 Monte de Carrapatelo Colheita Seleccionada Tinto Red (Alentejano);Portuguese Red;Luis Duarte;8.2;0.23;0.42;1.9;0.069;9;17;0.99376;3.21;0.54;12.3
7;Portugal;As its name suggests this is a selection of barrels of Syrah and Touriga Nacional, It is rich, smooth and full of ripe fruit, The dusty tannins are in suspension, backing up the black plum and blueberry fruit flavors, Along with the juicy acidity, this is a wine to age, Drink from 2017,;Lagoalva Barrel Selection Tinto;92;23;Tejo;Kerin O’Keefe;Quinta da Lagoalva de Cima 2013 Lagoalva Barrel Selection Tinto Red (Tejo);Portuguese Red;Quinta da Lagoalva de Cima;10.8;0.47;0.43;2.1;0.171;27;66;0.9982;3.17;0.76;10.8
8;Portugal;This is an impressive, powerful wine, It speaks of the hard landscape of the Douro Superior, with its structure and dark tannins, At the same time, ripe dark fruits push through the still-young tannins giving the potential for a rich, black fruit dominated wine, Predominantly Touriga Nacional (60 percent), this wine is a new venture created by João Nicolau d'Almeida (who has run Ramos-Pinto for many years) and his family, Drink from 2018,;;92;80;Douro;Roger Voss;Quinta do Monte Xisto 2013 Red (Douro);Portuguese Red;Quinta do Monte Xisto;8.3;0.53; -   ;1.4;0.07;6;14;0.99593;3.25;0.64;10
9;Portugal;Powerful and concentrated, this is just at its peak, Ripe, rich fruit and tarry tannins give it freshness and a dry core, It's solid and serious, a dense wine that calls for equally rich food, Drink it now while it's at its prime,;Grande Reserva;92;32;Alentejo;Anna Lee C. Iijima;Monte da Penha 2005 Grande Reserva Red (Alentejo);Portuguese Red;Monte da Penha;7.9;0.33;0.41;1.5;0.056;6;35;0.99396;3.29;0.71;11
10;Portugal;This mature wine has a soft, smooth character and ripe fruit, With its red-berry flavors and gentle tannins, it's very ready to drink, The blend is dominated by Touriga Nacional from an estate at the heart of the Douro vineyards in Pinhão,;VT '08;90;32;Douro;Roger Voss;Quinta do Sagrado 2008 VT '08 Red (Douro);Portuguese Red;Quinta do Sagrado;7;0.69;0.07;2.5;0.091;15;21;0.99572;3.38;0.6;11.3
11;Portugal;A ripe and structured wine, this has bold black fruits and balanced tannins that still need to soften, It has good potential with rich fruits and a tight mineral texture, Drink from 2018,;Aneto Tinto;90;12;Douro;Virginie Boone;Sobredos 2012 Aneto Tinto Red (Douro);Portuguese Red;Sobredos;8.8;0.27;0.46;2.1;0.095;20;29;0.99488;3.26;0.56;11.3
12;Portugal;The latest release from the partnership between the Roquette family of Quinta do Crasto in the Douro and the Cazes family of Château Lynch-Bages in Bordeaux, The wine brings out considerable minerality, a herbal edge along with forward black currant fruit, It is austerely structured at this stage and needs aging for several years,;;90;;Douro;Roger Voss;Roquette e Cazes 2007 Red (Douro);Portuguese Red;Roquette e Cazes;6.8;0.64; -   ;2.7;0.123;15;33;0.99538;3.44;0.63;11.3
13;Portugal;Just lightly touched by wood this is a bright and fruity wine that is ready to drink, Spice and red-berry fruits dominate, lifted by balanced tannins, Drink now,;Evel Tinto;87;13;Douro;Virginie Boone;Real Companhia Velha 2014 Evel Tinto Red (Douro);Portuguese Red;Real Companhia Velha;9.3;0.27;0.41;2;0.091;6;16;0.998;3.28;0.7;9.7
14;Portugal;It is the 30% Alicante Bouschet in the blend that gives the dense color to this ripe wine, Concentrate and rich, the generous berry flavors are balanced by a more restrained acidity and smoky flavors, The wine is ready to drink,;Santos da Casa Tinto;87;15;Alentejano;Kerin O’Keefe;Santos & Seixo 2014 Santos da Casa Tinto Red (Alentejano);Portuguese Red;Santos & Seixo;9;0.45;0.49;2.6;0.084;21;75;0.9987;3.35;0.57;9.7
15;Portugal;This is a major Douro wine from the Poças family-owned Port and wine producer, Dusty tannins already give it class as well as richness, Packed with black-plum fruits and with good concentration, the wine is still maturing, It needs to age further, so drink from 2019,;Símbolo;94;150;Douro;Matt Kettmann;Poças 2014 Símbolo Red (Douro);Portuguese Red;Poças;7.4;0.36;0.34;1.8;0.075;18;38;0.9933;3.38;0.88;13.6
16;Portugal;A rich full wine that has swathes of black fruits, It has a dry core around which there are generous fruits and the right amount of acidity, Perfumed, ripe and concentrated, this is ready to drink now,;Herdade dos Machados Reserva;88;19;Alentejo;Anna Lee C. Iijima;Casa Agricola Santos Jorge 2012 Herdade dos Machados Reserva Red (Alentejo);Portuguese Red;Casa Agricola Santos Jorge;8.6;0.725;0.24;6.6;0.117;31;134;10.014;3.32;1.07;9.3
17;Portugal;Syrah, Castelão and Aragonez go into the blend of this rich juicy wine, It is so soft and ripe, just hinting at tannins and with red-berry fruit, The wine is round and smooth, ready to drink,;Cascas Winemaker Selection;87;10;Lisboa;Michael Schachner;Casca Wines 2015 Cascas Winemaker Selection Red (Lisboa);Portuguese Red;Casca Wines;9;0.45;0.49;2.6;0.084;21;75;0.9987;3.35;0.57;9.7
18;Portugal;Old vines, many up to 80-years-old, supply the grapes that were fermented in traditional granite lagars for a ripe jammy character in this powerful wine, It has solid tannins and great acidity, both of which will allow the wine to age, Drink this impressive wine from 2020,;Reserva;93;55;Douro;Michael Schachner;Quinta da Foz 2016 Reserva Red (Douro);Portuguese Red;Quinta da Foz;9.6;0.32;0.47;1.4;0.056;9;24;0.99695;3.22;0.82;10.3
19;Portugal;This estate whose name means four winds is in the Douro Superior, the easternmost part of the Douro region, It is intensely rich and solid—a classic blend for the region with a dominance of Touriga Nacional and Touriga Franca, aged in wood and with plenty more aging ability, This black-fruit-flavored wine will be best from 2020,;Quinta dos Quatros Ventos;93;28;Douro;Michael Schachner;Bacalhôa Wines of Portugal 2014 Quinta dos Quatros Ventos Red (Douro);Portuguese Red;Bacalhôa Wines of Portugal;11.9;0.43;0.66;3.1;0.109;10;23;1;3.15;0.85;10.4
20;Portugal;The Reserva version of the popular Borba brand in Portugal is a dense, powerfully tannic wine, Its juicy black currant and blackberry fruits are suffused with tannins—its dry core surrounded by richness, Hints of dark chocolate and pepper come from the alcohol but certainly don't take away from the great fruitiness of the wine, Drink from 2019,;Marquês de Borba Reserva;93;75;Alentejo;Alexander Peartree;J, Portugal Ramos 2014 Marquês de Borba Reserva Red (Alentejo);Portuguese Red;J, Portugal Ramos;8.5;0.28;0.56;1.8;0.092;35;103;0.9969;3.3;0.75;10.5
21;Portugal;This producer specializes in seeking out parcels of old vines, In this case, the vines, planted at high density, have unusually crooked trunks, The wine itself, richly tannic and dense, has new wood flavors, ripe black-plum fruits and a dark firm character, It is still young and will develop into an impressively rich wine, Drink from 2019,;Crooked Vines Colheita;93;32;Douro;Alexander Peartree;Secret Spot Wines 2014 Crooked Vines Colheita Red (Douro);Portuguese Red;Secret Spot Wines;8;0.59;0.16;1.8;0.065;3;16;0.9962;3.42;0.92;10.5
22;Portugal;This is a fruity, juicy wine that has a dry tanninc core, That gives a mineral texture to the otherwise ripe and fruity wine, Full of black currant fruit flavors, shot through with acidity, the wine is ready to drink,;Somontes Colheita;88;11;Dão;Paul Gregutt;Casa da Passarella 2012 Somontes Colheita Red (Dão);Portuguese Red;Casa da Passarella;7;0.58;0.12;1.9;0.091;34;124;0.9956;3.44;0.48;10.5
23;Portugal;This deeply impressive blend of 20 different varieties comes from a vineyard at the top of the Gaivosa estate that was oddly ignored for many years, With black plum fruit, dense tannins and intense acidity, it's built for longterm aging, Drink from 2021,;Abandonado;94;85;Douro;Kerin O’Keefe;Alves de Sousa 2013 Abandonado Red (Douro);Portuguese Red;Alves de Sousa;5.1;0.42; -   ;1.8;0.044;18;88;0.99157;3.68;0.73;13.6
24;Portugal;From the historic Herdade do Mouchão in northern Alentejo, this is a powerful wine, full of dense tannins and impressively ripe, juicy black fruits, Syrah and Alicante Bouschet bring southern richness to Touriga Franca and Touriga Nacional, Drink this wine now,;Ponte das Canas;93;20;Alentejo;Matt Kettmann;Mouchão 2012 Ponte das Canas Red (Alentejo);Portuguese Red;Mouchão;11;0.3;0.58;2.1;0.054;7;19;0.998;3.31;0.88;10.5
25;Portugal;This simple and fruity wine is made to be drunk young, And with its red fruits, light acidity and crisp texture, it succeeds, Drink the wine with summer barbecues,;Cerejeiras Tinto;85;7;Lisboa;Kerin O’Keefe;Sanguinhal 2016 Cerejeiras Tinto Red (Lisboa);Portuguese Red;Sanguinhal;7.1;0.43;0.17;1.8;0.082;27;51;0.99634;3.49;0.64;10.4
26;Portugal;This is an open and ready-to-drink wine that has soft tannins and juicy blackberry fruit, With 50% Aragonez in the blend, it is has a smooth character that brings out plenty fruit and not too much structure, Drink now,;Cuvée B;85;8;Alentejo;Virginie Boone;Adega Cooperativa de Borba 2016 Cuvée B Red (Alentejo);Portuguese Red;Adega Cooperativa de Borba;7.4;0.41;0.24;1.8;0.066;18;47;0.9956;3.37;0.62;10.4
27;Portugal;Named after the poppy that blooms in May in the Alentejo, this wine is juicy and fruity, with a light touch of tannins, It is all red berries, with an easygoing juicy character, Drink now,;Flor de Maio Mayflower;85;7;Alentejano;Kerin O’Keefe;Magnum Vinhos 2015 Flor de Maio Mayflower Red (Alentejano);Portuguese Red;Magnum Vinhos;6.8;0.48;0.25;2;0.076;29;61;0.9953;3.34;0.6;10.4
28;Portugal;Young and fruity, this is a bright and wine for immediate drinking, It has hints of tannins, plenty of red fruits and no wood,;Brado;85;8;Alentejano;Kerin O’Keefe;Adega Cooperativa de Borba 2016 Brado Red (Alentejano);Portuguese Red;Adega Cooperativa de Borba;11.2;0.4;0.5;2;0.099;19;50;0.99783;3.1;0.58;10.4
29;Portugal;Structured and with solid tannins, this is a wood- and spice-laden wine, Its fruit lies somewhere behind all this structure and is likely to remain there,;Dona Helena Reserva;85;15;Península de Setúbal;Kerin O’Keefe;Wines & Winemakers 2014 Dona Helena Reserva Red (Península de Setúbal);Portuguese Red;Wines & Winemakers;7.5;0.5;0.36;6.1;0.071;17;102;0.9978;3.35;0.8;10.5
30;Portugal;There are firm and dusty tannins in this spicy wine, It has firm fruit, a solid texture and a juicy, nutmeg-flavored aftertaste, Drink from 2018 when some of the tannins have softened,;Topázio Reserva;85;10;Douro;Virginie Boone;Enoport 2014 Topázio Reserva Red (Douro);Portuguese Red;Enoport;7.5;0.5;0.36;6.1;0.071;17;102;0.9978;3.35;0.8;10.5
31;Portugal;Tinta Miúda, known as the rare Graciano grape in Spain, is not often found in Portugal, Here it makes a ripe, juicy and jammy wine that's soft, with only a minimum of tannins to keep it together, It has a typically warm character and is ready to drink,;Tinta Miúda;85;12;Tejo;Roger Voss;Fiuza 2015 Tinta Miúda Red (Tejo);Portuguese Red;Fiuza;7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5
32;Portugal;Mula Velha, “the old donkey,” is a younger wine than its name suggests, Brisk and fruity, it offers firm tannins and layers of blackberry fruit, With a touch of oak aging, the wine is developing well and will be ready to drink from late 2017,;Mula Velha Reserva;85;10;Lisboa;Paul Gregutt;Parras Wines 2015 Mula Velha Reserva Red (Lisboa);Portuguese Red;Parras Wines;7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5
33;Portugal;This wine is ripe, full of black fruits and soft tannins, With plenty of acidity to keep it crisp, the wine has a cool, flavorful character topped off by berry fruits, It's ready to drink,;Terra Grande;85;10;Alentejano;Michael Schachner;Parras Wines 2015 Terra Grande Red (Alentejano);Portuguese Red;Parras Wines;8.8;0.41;0.64;2.2;0.093;9;42;0.9986;3.54;0.66;10.5
34;Portugal;This wine is light in tannins and ripe in fruit, with a delicious red-berry character, Drink this attractive wine from 2019,;Lote 138;85;11;Douro;Paul Gregutt;Quinta dos Avidagos 2015 Lote 138 Red (Douro);Portuguese Red;Quinta dos Avidagos;8.8;0.41;0.64;2.2;0.093;9;42;0.9986;3.54;0.66;10.5
35;Portugal;"A firm wine, with dark chocolate and coffee flavors, The fruit flavors are  dark fig and stewed plums; there is a bitter edge to the tannins,";Reserva;85;20;Douro;Roger Voss;Quinta do Grifo 2004 Reserva Red (Douro);Portuguese Red;Quinta do Grifo;7.1;0.43;0.42;5.5;0.07;29;129;0.9973;3.42;0.72;10.5
36;Portugal;The local grape Castelão is blended with Cabernet Sauvignon in this soft, spicy and fruity wine, Red fruits and balanced acidity are given a shove by a lightly tannic structure, The wine is ready to drink,;Terra de Lobos Tinto;85;10;Tejo;Michael Schachner;Quinta do Casal Branco 2014 Terra de Lobos Tinto Red (Tejo);Portuguese Red;Quinta do Casal Branco;7.1;0.43;0.42;5.5;0.071;28;128;0.9973;3.42;0.71;10.5
37;Portugal;Pitch-black wine, very dense, It is spicy with concentrated black fruits, layered with equally intense acidity, Wood, fruit and sweet berries are all there, Tannins surround this firm wine, promising aging over 5–6 years,;Picos de Couto Grande Escolha;93;;Dão;Roger Voss;Castro Pena Alba 2007 Picos de Couto Grande Escolha Red (Dão);Portuguese Red;Castro Pena Alba;10;0.31;0.47;2.6;0.085;14;33;0.99965;3.36;0.8;10.5
38;Portugal;Very Douro in its mineral texture and dry core, it also has a surround of ripe black fruits, It's concentrated and has some aging potential, although it can be drunk now,;Porrais;87;13;Douro;Michael Schachner;Quinta de Porrais 2010 Porrais Red (Douro);Portuguese Red;Quinta de Porrais;9.6;0.6;0.5;2.3;0.079;28;71;0.9997;3.5;0.57;9.7
39;Portugal;Still young, it is full of spice from wood aging along with juicy black fruits, It is soft, dominated by black currant and acidity, Not for aging, it will be ready by the end of 2014,;;87;;Tejo;Roger Voss;Quinta do Casal Branco 2012 Red (Tejo);Portuguese Red;Quinta do Casal Branco;9.6;0.6;0.5;2.3;0.079;28;71;0.9997;3.5;0.57;9.7
40;Portugal;The tannins are firm, still controlling the black fruits in this wine, It is concentrated, with considerable extraction giving a dry wine with a hard edge, The red-berry flavors are lost,;Premium;84;33;Douro;Virginie Boone;Quinta da Padrela 2013 Premium Red (Douro);Portuguese Red;Quinta da Padrela;7.3;0.55;0.03;1.6;0.072;17;42;0.9956;3.37;0.48;9
41;Portugal;This wine is ripe with red fruits and soft tannins, It is smooth, packed with red-berry flavors lifted by the acidity, Made to be drunk young, it is ready now,;Pinta Negra Tinto;84;9;Lisboa;Michael Schachner;Adega Mãe 2015 Pinta Negra Tinto Red (Lisboa);Portuguese Red;Adega Mãe;7.9;0.885;0.03;1.8;0.058;4;8;0.9972;3.36;0.33;9.1
42;Portugal;Smooth red-berry fruits give this wine a glow of ripeness, The blend of Touriga Nacional, Syrah and Alicante Bouschet is dense and full of dark berries, with a touch of wood aging to smooth everything out, Drink now,;Fortissimo;87;15;Alentejano;Sean P. Sullivan;Casa Santos Lima 2015 Fortissimo Red (Alentejano);Portuguese Red;Casa Santos Lima;8.7;0.84; -   ;1.4;0.065;24;33;0.9954;3.27;0.55;9.7
43;Portugal;This densely tannic wine is bold and linear, with concentrated chocolate and spice flavors, Rich black fruits are layered with acidity and a tight, mineral texture, Still firm, the wine is not likely to soften more, so drink now,;Vertice Grande Reserva;87;26;Douro;Virginie Boone;Caves Transmontanas 2013 Vertice Grande Reserva Red (Douro);Portuguese Red;Caves Transmontanas;9.4;0.59;0.14;2;0.084;25;48;0.9981;3.14;0.56;9.7
44;Portugal;This wine comes from vineyards outside the boundaries of the Dão region but has the same typical blend, It shows minerality as well as rich fruit and soft tannins, The wine is balanced, stylish and deliciously ready to drink,;D, Fuas Reserva;87;10;Terras do Dão;Kerin O’Keefe;Caves Velhas 2014 D, Fuas Reserva Red (Terras do Dão);Portuguese Red;Caves Velhas;9.1;0.64;0.23;3.1;0.095;13;38;0.9998;3.28;0.59;9.7
45;Portugal;Made to drink young, this fruity, softly structured wine is ripe with blackberry fruits, There is a touch of spice from the wood aging and a lining of attractive acidity, Drink now,;Ardósia Tinto;87;13;Tejo;Sean P. Sullivan;Quinta da Ribeirinha 2015 Ardósia Tinto Red (Tejo);Portuguese Red;Quinta da Ribeirinha;9.4;0.615;0.28;3.2;0.087;18;72;10.001;3.31;0.53;9.7
46;Portugal;The quinta for this wine is on the plateau north of the Douro river, It has produced a red-fruit wine, rich with soft tannins and juicy fruitiness, The wood aging is already well integrated into this bold, ripe wine, Drink now,;Porrais;87;15;Douro;Roger Voss;Quinta de Porrais 2015 Porrais Red (Douro);Portuguese Red;Quinta de Porrais;9;0.58;0.25;2.8;0.075;9;104;0.99779;3.23;0.57;9.7
47;Portugal;This simple, open and fruity wine has gentle tannins, It is all about ripe berries and acidity, Made to be drunk young for its fruitiness, it is ready now,;Beyra Colheita;87;12;Beira Interior;Matt Kettmann;Rui Roboredo Madeira 2015 Beyra Colheita Red (Beira Interior);Portuguese Red;Rui Roboredo Madeira;7;0.685; -   ;1.9;0.099;9;22;0.99606;3.34;0.6;9.7
48;Portugal;A wine that starts out all tannins, The fruit takes a while to show through and then produces juicy red cherry flavors and considerable acidity, the wood aging rounding the corners, This is for medium-term aging,;Quinta do Grifo Grande Reserva;89;18;Douro;Roger Voss;Rozes 2008 Quinta do Grifo Grande Reserva Red (Douro);Portuguese Red;Rozes;7.1;0.46;0.2;1.9;0.077;28;54;0.9956;3.37;0.64;10.4
49;Portugal;This feels very ripe, perhaps overripe, with its seemingly sweet flavor of black fruit juice and its soft structure, It's appealing and does have some tannins, but it is not for aging,;Morgado da Canita;84;5;Alentejano;Roger Voss;Herdade dos Machados 2009 Morgado da Canita Red (Alentejano);Portuguese Red;Herdade dos Machados;6.9;1.09;0.06;2.1;0.061;12;31;0.9948;3.51;0.43;11.4
