"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
10,"TIRAMISU KITCHEN","033 BELDEN PL","San Francisco","CA","94104","37.791116","-122.403816",""
1000,"HEUNG YUEN RESTAURANT","3279 22ND ST ","San Francisco","CA","94110","37.755282","-122.420493",""
1001,"CAFE VENICE","3325 24TH ST ","San Francisco","CA","94110","37.752183","-122.419128","+14155643385"
10011,"OSHA THAI NOODLE","819 VALENCIA ST.","San Francisco","CA",,"37.759943","-122.421332","+14155319293"
1002,"BIG MOUTH BURGERS","3392 24TH ST ","San Francisco","CA","94110","37.752158","-122.420362",""
1003,"RINCON PERUANO RESTAURANT","3364 26TH ST ","San Francisco","CA","94110","37.749128","-122.417402",
10030,"MARSHALL ELEMENTARY SCHOOL","1575 15TH ST ","San Francisco","CA",,"37.766864","-122.419014",
10046,"MISSION BAY CONVALENCENT HOSPITAL","331 PENNSYLVANIA AV.","San Francisco","CA",,"37.76242","-122.393426","+14155643587"
1005,"CHAVITA'S MEXICAN RESTAURANT","3006 MISSION ST","San Francisco","CA","94110","37.748855","-122.418134","+14155286927"
10065,"TACOS EL PRIMO CATERING TRUCK","2225  JENNINGS ST ","San Francisco","CA",,"37.72623","-122.389335","+14155844975"
1008,"VALENCIA PIZZA & PASTA","801 VALENCIA ST ","San Francisco","CA","94110","37.759944","-122.421356","+14155823494"
10083,"MORNING BREW CAFÉ","401 SANSOME ST","San Francisco","CA","94111","37.794024","-122.401299",""
10099,"ROE RESTAURANT","651 HOWARD STREET","San Francisco","CA","94105","37.785817","-122.399422",""
101,"CABLE CAR CORNER","1099 POWELL ST ","San Francisco","CA","94108","37.794615","-122.409705",""
1010,"CREPEVINE, THE","624 IRVING ST ","San Francisco","CA","94122","37.764137","-122.464672","+14155685858"
10102,"BODEGA BISTRO","607 LARKIN ST","San Francisco","CA","94109","37.783533","-122.417603","+14155921218"
10107,"THE GREEN ROOM","1182 MARKET ST","San Francisco","CA","94102","37.77911","-122.414342",""
10127,"AMICI'S EAST COAST PIZZERIA","216 KING STREET","San Francisco","CA","94107","37.777803","-122.392489",""
10129,"MAN HANG CATERING","2041 18TH AVE ","San Francisco","CA",,,,""
10131,"CYBELLE'S FRONT ROOM","1385 09TH AVE ","San Francisco","CA","94122","37.758941","-122.48591",""
10170,"PIAZA PELLEGRINI","659 COLUMBUS AVE","San Francisco","CA","94133","37.800851","-122.411062",""
1018,"PETES BARBEQUE","2399 MISSION ST ","San Francisco","CA","94110","37.758684","-122.418975","+14155821009"
10184,"ENCORE KARAOKE LOUNGE","1550 CALIFORNIA ST, 2ND FLOOR","San Francisco","CA","94109","37.790734","-122.419887",""
102,"AKIKO'S SUSHI BAR","542A MASON ST ","San Francisco","CA","94102","37.788484","-122.410045",""
1021,"LA SANTANECA DE LA MISSION","2815 MISSION ST","San Francisco","CA","94110","37.751885","-122.418406","+14155282131"
10213,"CREPES A GO GO","1220 POLK ST","San Francisco","CA","94109","37.788087","-122.420094",""
1022,"DAK WIN RESTAURANT","2845 MISSION ST","San Francisco","CA","94110","37.751454","-122.418356","+14155284455"
10226,"NECTOR WINE/LOUNGE","3330 STEINER STREET","San Francisco","CA","94123","37.799955","-122.437677",""
10227,"THE NAPPER TANDY","3200 24TH ST ","San Francisco","CA",,"37.752581","-122.416482",""
10235,"NIJIYA MARKET","1737 POST ST ","San Francisco","CA","94115","37.785457","-122.430317",""
10238,"KING OF THAI NOODLE HOUSE","184 O'FARRELL ST","San Francisco","CA","94102","37.786498","-122.407764",""
1026,"PHUKET THAI RESTAURANT","248 DIVISADERO ST ","San Francisco","CA","94117","37.771117","-122.436976","+14155979594"
1027,"KK CAFE","252 DIVISADERO ST ","San Francisco","CA","94117","37.771487","-122.437047","+14155626188"
10280,"TENDERLOIN ELEMENTARY SCHOOL","627 TURK ST","San Francisco","CA","94102","37.782034","-122.419777",""
10282,"JEWISH COMMUNITY CENTER","3200 CALIFORNIA","San Francisco","CA","94118","37.787311","-122.446839",""
1031,"IL BORGO","500 FELL ST ","San Francisco","CA","94102","37.775538","-122.426264",""
10332,"HARVEST RANCH MARKET","191 08TH ST ","San Francisco","CA","94103","37.776384","-122.411684","+14155620805"
1036,"ALAMO SQUARE","803 FILLMORE ST ","San Francisco","CA","94117","37.776944","-122.431444",""
10362,"CROSSROADS","2130 FULTON ST","San Francisco","CA","94117","37.775117","-122.452065",""
10363,"BRINDISI","485 PINE ST","San Francisco","CA","94104","37.791733","-122.403787",""
10373,"EL TONAYENSE #4","1717 HARRISON ST ","San Francisco","CA",,"37.769426","-122.413446","+14155556127"
10376,"GOOD FRIKIN CHICKEN","10 29TH ST ","San Francisco","CA",,"37.744369","-122.420967",""
10377,"AT&T - FAB FRY BREAD (LOWER CENTER FIELD) [147480]","24 WILLIE MAYS PLAZA","San Francisco","CA","94107",,,""
1038,"GO GETTERS PIZZA","69 GOUGH ST ","San Francisco","CA","94102","37.773342","-122.422283","+14155621401"
104,"INO SUSHI","22 PEACE PLAZA  #510","San Francisco","CA","94115","37.785018","-122.429587","+14155923121"
1040,"CUCO'S RESTAURANT","488 HAIGHT ST ","San Francisco","CA","94117","37.772178","-122.430234","+14155868187"
10413,"KL1 RESTAURANT","4401 BALBOA ST","San Francisco","CA","94121","37.775273","-122.506119",""
1042,"LOVE 'N HAIGHT COFFEE & DELI","553 HAIGHT ST ","San Francisco","CA","94117","37.771964","-122.431336","+14155258190"
1043,"CENTRAL COFFEE TEA & SPICE","1696 HAYES ST ","San Francisco","CA","94117","37.774198","-122.444214",""
10433,"CAFÉ LA TAZA","470 POST ST","San Francisco","CA","94102","37.788128","-122.409705",""
