"business_id","Score","date","type"
10,98,"20121114","Routine"
10,,"20120920","Followup"
10,98,"20120403","Routine"
10,100,"20110928","Routine"
10,,"20110601","Followup"
10,96,"20110428","Routine"
10,100,"20101210","Routine"
12,100,"20121120","Routine"
12,98,"20120420","Routine"
12,100,"20111018","Routine"
12,100,"20110401","Routine"
17,,"20120906","Followup"
17,100,"20120823","Routine"
17,100,"20120124","Routine"
17,,"20110902","Followup"
17,94,"20110728","Routine"
17,,"20101223","Followup"
17,94,"20101210","Routine"
19,100,"20121127","Routine"
19,96,"20120323","Routine"
19,93,"20111103","Routine"
19,100,"20110513","Routine"
19,90,"20110106","Routine"
24,100,"20121018","Routine"
24,100,"20120417","Routine"
24,100,"20111013","Routine"
24,100,"20110419","Routine"
24,100,"20101209","Routine"
29,87,"20121228","Routine"
29,86,"20120521","Routine"
29,87,"20110928","Routine"
29,94,"20110315","Routine"
29,96,"20100609","Routine"
31,100,"20121217","Routine"
31,,"20121130","Non-inspection site visit"
31,100,"20120427","Routine"
31,100,"20111013","Routine"
31,100,"20110328","Routine"
31,100,"20100920","Routine"
37,96,"20130130","Routine"
37,,"20130130","Followup"
37,,"20120802","Followup"
37,98,"20120713","Routine"
37,100,"20110810","Routine"
37,,"20110401","Followup"
37,93,"20110322","Routine"
37,,"20101021","Followup"
37,,"20101018","Followup"
37,93,"20101012","Routine"
40,100,"20121213","Routine"
40,100,"20120206","Routine"
40,100,"20110721","Routine"
40,96,"20110202","Routine"
45,96,"20121126","Routine"
45,100,"20120417","Routine"
45,100,"20111012","Routine"
45,,"20110505","Followup"
45,92,"20110427","Routine"
45,94,"20101026","Routine"
45,,"20101012","Followup"
45,94,"20101005","Routine"
45,,"20101004","Non-inspection site visit"
48,90,"20130327","Routine"
48,,"20120323","Followup"
48,92,"20120315","Routine"
48,,"20110810","Followup"
48,,"20110802","Followup"
48,93,"20110726","Routine"
48,,"20101110","Followup"
48,89,"20101103","Routine"
48,96,"20100527","Routine"
50,,"20130409","Followup"
50,96,"20130328","Routine"
50,100,"20121015","Routine"
50,100,"20120404","Routine"
50,100,"20111031","Routine"
50,,"20100927","Followup"
50,85,"20100924","Routine"
50,,"20100524","Followup"
50,93,"20100524","Routine"
54,96,"20130326","Routine"
54,96,"20120801","Routine"
54,96,"20120206","Routine"
54,98,"20110622","Routine"
54,98,"20101108","Routine"
56,94,"20130327","Routine"
56,98,"20120927","Routine"
56,100,"20120130","Routine"
56,94,"20110705","Routine"
56,98,"20101026","Routine"
58,100,"20130207","Routine"
58,,"20130207","Followup"
58,98,"20120201","Routine"
58,,"20120201","Followup"
58,98,"20110713","Routine"
58,,"20101123","Followup"
58,90,"20101115","Routine"
61,96,"20130329","Routine"
61,96,"20120323","Routine"
61,,"20110906","Followup"
61,94,"20110822","Routine"
61,,"20110216","Followup"
61,89,"20110202","Routine"
61,,"20101118","Followup"
63,,"20121210","Non-inspection site visit"
63,94,"20121002","Routine"
63,96,"20120305","Routine"
63,96,"20110817","Routine"
63,,"20110304","Followup"
63,86,"20110224","Routine"
66,100,"20130201","Routine"
66,96,"20120706","Routine"
66,100,"20120104","Routine"
66,100,"20110713","Routine"
66,,"20110204","Followup"
66,96,"20110127","Routine"
66,,"20100806","Followup"
66,98,"20100712","Routine"
67,,"20130131","Followup"
67,90,"20130129","Routine"
67,,"20121004","Followup"
67,93,"20120927","Routine"
67,,"20120328","Followup"
67,93,"20120321","Routine"
67,100,"20111013","Routine"
67,,"20101005","Followup"
67,88,"20101004","Routine"
67,,"20101004","Complaint"
67,96,"20100615","Routine"
67,,"20100615","Complaint"
71,100,"20120529","Routine"
71,,"20120522","Non-inspection site visit"
71,,"20100921","Non-inspection site visit"
73,92,"20120514","Routine"
73,92,"20111102","Routine"
73,84,"20110516","Routine"
73,87,"20101201","Routine"
76,100,"20121018","Routine"
76,100,"20120417","Routine"
76,100,"20111013","Routine"
76,100,"20110419","Routine"
76,100,"20101209","Routine"
77,100,"20121018","Routine"
77,100,"20120417","Routine"
77,100,"20111013","Routine"
77,100,"20110419","Routine"
77,100,"20101209","Routine"
80,100,"20130328","Routine"
80,100,"20120914","Routine"
80,92,"20120222","Routine"
80,,"20110513","Followup"
80,89,"20110503","Routine"
80,,"20101129","Followup"
80,93,"20101122","Routine"
80,,"20100519","Followup"
81,96,"20130417","Routine"
81,,"20121114","Followup"
81,86,"20121024","Routine"
81,,"20120516","Non-inspection site visit"
81,,"20110513","Followup"
81,93,"20110503","Routine"
81,,"20101206","Followup"
81,98,"20101122","Routine"
81,,"20100519","Followup"
83,,"20130225","Followup"
83,88,"20130204","Routine"
83,,"20120613","Followup"
83,,"20120612","Followup"
83,,"20120606","Followup"
83,81,"20120524","Routine"
83,,"20111024","Followup"
83,,"20111017","Followup"
83,90,"20111003","Routine"
83,87,"20110404","Routine"
85,,"20121218","Followup"
85,82,"20121211","Routine"
85,,"20120228","Followup"
85,90,"20120223","Routine"
85,,"20110705","Followup"
85,91,"20110630","Routine"
85,,"20100927","Followup"
88,,"20130501","Followup"
88,85,"20130415","Routine"
88,96,"20120827","Routine"
88,,"20120329","Followup"
88,,"20120323","Followup"
88,80,"20120314","Routine"
88,,"20111215","Followup"
88,,"20111026","Followup"
88,,"20111007","Followup"
88,,"20110928","Followup"
88,83,"20110927","Routine"
88,,"20110927","Routine"
88,87,"20110413","Routine"
95,96,"20120705","Routine"
95,,"20111209","Followup"
95,96,"20111130","Routine"
95,,"20110511","Followup"
95,94,"20110503","Routine"
95,,"20101109","Followup"
95,92,"20101101","Routine"
98,,"20121211","Followup"
98,89,"20121204","Routine"
98,,"20111110","Followup"
98,96,"20111026","Routine"
98,,"20110706","Non-inspection site visit"
98,,"20110520","Followup"
98,,"20110512","Followup"
98,,"20110504","Non-inspection site visit"
98,94,"20110428","Routine"
98,94,"20101201","Routine"
99,,"20130313","Followup"
99,90,"20130306","Routine"
99,92,"20120806","Routine"
99,,"20120222","Complaint"
99,,"20111130","Followup"
99,85,"20111117","Routine"
99,,"20110420","Followup"
99,75,"20110413","Routine"
101,96,"20121210","Routine"
101,96,"20120111","Routine"
101,100,"20110602","Routine"
101,100,"20100920","Routine"
101,,"20100920","Routine"
102,,"20130110","Followup"
102,,"20121219","Followup"
102,90,"20121206","Routine"
102,94,"20120522","Routine"
102,,"20111202","Followup"
102,94,"20111118","Routine"
102,,"20110531","Followup"
102,,"20110524","Followup"
102,,"20110524","Non-inspection site visit"
102,85,"20110523","Routine"
102,,"20110523","Followup"
102,,"20100929","Followup"
102,,"20100922","Followup"
102,,"20100907","Followup"
102,90,"20100804","Routine"
104,98,"20130305","Routine"
104,98,"20120410","Routine"
104,,"20120328","Non-inspection site visit"
104,,"20120327","Non-inspection site visit"
104,98,"20110614","Routine"
104,98,"20101117","Routine"
104,,"20101006","Non-inspection site visit"
108,84,"20130206","Routine"
108,96,"20120123","Routine"
108,,"20110913","Complaint"
108,,"20110627","Followup"
108,90,"20110608","Routine"
108,,"20101115","Followup"
108,86,"20101109","Routine"
108,,"20100827","Non-inspection site visit"
111,,"20121211","Followup"
111,86,"20121204","Routine"
111,,"20111110","Followup"
111,90,"20111026","Routine"
111,,"20110721","Followup"
111,,"20110518","Followup"
111,,"20110506","Followup"
111,89,"20110428","Routine"
111,94,"20101201","Routine"
114,,"20120802","Followup"
114,,"20120716","Complaint"
114,,"20120716","Followup"
114,,"20120713","Complaint"
114,,"20120713","Complaint"
114,65,"20120713","Routine"
114,,"20120713","Complaint"
114,,"20111116","Followup"
114,79,"20111102","Routine"
114,76,"20110426","Routine"
116,,"20130423","Followup"
116,90,"20130416","Routine"
116,,"20120912","Complaint"
116,,"20120912","Followup"
116,,"20120911","Complaint"
116,,"20120830","Complaint"
116,,"20120830","Complaint"
116,,"20120830","Complaint"
116,,"20120822","Followup"
116,80,"20120807","Routine"
116,,"20120316","Complaint"
116,,"20120315","Complaint"
116,,"20120315","Non-inspection site visit"
116,96,"20111025","Routine"
116,,"20110712","Complaint"
116,85,"20110127","Routine"
121,96,"20130227","Routine"
121,100,"20120423","Routine"
121,100,"20110913","Routine"
121,,"20110105","Followup"
121,100,"20110105","Routine"
121,98,"20100603","Routine"
125,,"20121227","Complaint Followup"
125,,"20121204","Complaint"
125,,"20121203","Complaint"
125,,"20121102","Followup"
125,89,"20121024","Routine"
125,,"20120330","Followup"
125,94,"20120322","Routine"
125,100,"20110901","Routine"
125,100,"20110301","Routine"
126,77,"20130415","Routine"
126,,"20120724","Followup"
126,70,"20120717","Routine"
126,,"20120510","Followup"
126,,"20110901","Non-inspection site visit"
126,,"20110628","Followup"
126,51,"20110616","Routine"
126,,"20110216","Followup"
126,75,"20110126","Routine"
126,,"20100824","Followup"
126,74,"20100817","Routine"
130,92,"20121109","Routine"
130,96,"20120202","Routine"
130,,"20110629","Followup"
130,94,"20110621","Routine"
130,96,"20101216","Routine"
132,,"20130214","Followup"
132,,"20130207","Followup"
132,87,"20130131","Routine"
132,,"20120515","Followup"
132,91,"20120508","Routine"
132,,"20111116","Followup"
132,,"20111102","Routine"
132,84,"20111102","Routine"
132,,"20110215","Followup"
132,,"20110208","Followup"
132,,"20110207","Followup"
132,80,"20110204","Routine"
132,,"20100713","Followup"
132,,"20100706","Routine"
132,82,"20100706","Routine"
134,100,"20121206","Routine"
134,100,"20120328","Routine"
134,,"20120110","Followup"
134,94,"20110815","Routine"
134,100,"20110216","Routine"
134,100,"20100607","Routine"
140,100,"20121024","Routine"
140,100,"20120411","Routine"
140,,"20120411","Followup"
140,96,"20111012","Routine"
140,100,"20110523","Routine"
140,,"20101118","Followup"
140,91,"20101110","Routine"
140,,"20101108","Followup"
141,94,"20130422","Routine"
141,,"20120814","Followup"
141,92,"20120807","Routine"
141,100,"20120207","Routine"
141,98,"20110808","Routine"
141,,"20110208","Followup"
141,92,"20110128","Routine"
146,,"20121221","Followup"
146,96,"20121206","Routine"
146,,"20120531","Followup"
146,98,"20120517","Routine"
146,,"20120103","Followup"
146,96,"20111213","Routine"
146,,"20110512","Complaint"
146,,"20100901","Followup"
146,,"20100804","Followup"
146,92,"20100727","Routine"
151,98,"20130111","Routine"
151,96,"20111215","Routine"
151,,"20110414","Followup"
151,86,"20110407","Routine"
155,94,"20130430","Routine"
155,,"20121019","Followup"
155,96,"20120821","Routine"
155,100,"20120112","Routine"
155,96,"20110525","Routine"
155,,"20110211","Complaint"
155,92,"20101109","Routine"
164,100,"20121003","Routine"
164,100,"20120417","Routine"
164,100,"20110913","Routine"
164,,"20110321","Followup"
164,93,"20110311","Routine"
164,,"20100920","Followup"
164,98,"20100908","Routine"
164,,"20100820","Followup"
178,100,"20130110","Routine"
178,100,"20120404","Routine"
178,100,"20111005","Routine"
178,100,"20110523","Routine"
178,100,"20101110","Routine"
179,88,"20121207","Routine"
179,92,"20111122","Routine"
179,98,"20110520","Routine"
179,,"20100712","Followup"
179,98,"20100616","Routine"
180,92,"20121213","Routine"
180,,"20120425","Followup"
180,96,"20120418","Routine"
180,,"20110929","Followup"
