"business_id","Score","date","type"
10,"98","20121114","routine"
10,"98","20120403","routine"
10,"100","20110928","routine"
10,"96","20110428","routine"
10,"100","20101210","routine"
12,"100","20121120","routine"
12,"98","20120420","routine"
12,"100","20111018","routine"
12,"100","20110401","routine"
17,"100","20120823","routine"
17,"100","20120124","routine"
17,"94","20110728","routine"
17,"94","20101210","routine"
19,"100","20121127","routine"
19,"96","20120323","routine"
19,"93","20111103","routine"
19,"100","20110513","routine"
19,"90","20110106","routine"
24,"100","20121018","routine"
24,"100","20120417","routine"
24,"100","20111013","routine"
24,"100","20110419","routine"
24,"100","20101209","routine"
29,"87","20121228","routine"
29,"86","20120521","routine"
29,"87","20110928","routine"
29,"94","20110315","routine"
29,"96","20100609","routine"
31,"100","20121217","routine"
31,"100","20120427","routine"
31,"100","20111013","routine"
31,"100","20110328","routine"
31,"100","20100920","routine"
37,"96","20130130","routine"
37,"98","20120713","routine"
37,"100","20110810","routine"
37,"93","20110322","routine"
37,"93","20101012","routine"
40,"100","20121213","routine"
40,"100","20120206","routine"
40,"100","20110721","routine"
40,"96","20110202","routine"
45,"96","20121126","routine"
45,"100","20120417","routine"
45,"100","20111012","routine"
45,"92","20110427","routine"
45,"94","20101026","routine"
45,"94","20101005","routine"
48,"90","20130327","routine"
48,"92","20120315","routine"
48,"93","20110726","routine"
48,"89","20101103","routine"
48,"96","20100527","routine"
50,"96","20130328","routine"
50,"100","20121015","routine"
50,"100","20120404","routine"
50,"100","20111031","routine"
50,"85","20100924","routine"
50,"93","20100524","routine"
54,"96","20130326","routine"
54,"96","20120801","routine"
54,"96","20120206","routine"
54,"98","20110622","routine"
54,"98","20101108","routine"
56,"94","20130327","routine"
56,"98","20120927","routine"
56,"100","20120130","routine"
56,"94","20110705","routine"
56,"98","20101026","routine"
58,"100","20130207","routine"
58,"98","20120201","routine"
58,"98","20110713","routine"
58,"90","20101115","routine"
61,"96","20130329","routine"
61,"96","20120323","routine"
61,"94","20110822","routine"
61,"89","20110202","routine"
63,"94","20121002","routine"
63,"96","20120305","routine"
63,"96","20110817","routine"
63,"86","20110224","routine"
66,"100","20130201","routine"
66,"96","20120706","routine"
66,"100","20120104","routine"
66,"100","20110713","routine"
66,"96","20110127","routine"
66,"98","20100712","routine"
67,"90","20130129","routine"
67,"93","20120927","routine"
67,"93","20120321","routine"
67,"100","20111013","routine"
67,"88","20101004","routine"
67,"96","20100615","routine"
71,"100","20120529","routine"
73,"92","20120514","routine"
73,"92","20111102","routine"
73,"84","20110516","routine"
73,"87","20101201","routine"
76,"100","20121018","routine"
76,"100","20120417","routine"
76,"100","20111013","routine"
76,"100","20110419","routine"
76,"100","20101209","routine"
77,"100","20121018","routine"
77,"100","20120417","routine"
77,"100","20111013","routine"
77,"100","20110419","routine"
77,"100","20101209","routine"
80,"100","20130328","routine"
80,"100","20120914","routine"
80,"92","20120222","routine"
80,"89","20110503","routine"
80,"93","20101122","routine"
81,"96","20130417","routine"
81,"86","20121024","routine"
81,"93","20110503","routine"
81,"98","20101122","routine"
83,"88","20130204","routine"
83,"81","20120524","routine"
83,"90","20111003","routine"
83,"87","20110404","routine"
85,"82","20121211","routine"
85,"90","20120223","routine"
85,"91","20110630","routine"
88,"85","20130415","routine"
88,"96","20120827","routine"
88,"80","20120314","routine"
88,"83","20110927","routine"
88,"87","20110413","routine"
95,"96","20120705","routine"
95,"96","20111130","routine"
95,"94","20110503","routine"
95,"92","20101101","routine"
98,"89","20121204","routine"
98,"96","20111026","routine"
98,"94","20110428","routine"
98,"94","20101201","routine"
99,"90","20130306","routine"
99,"92","20120806","routine"
99,"85","20111117","routine"
99,"75","20110413","routine"
101,"96","20121210","routine"
101,"96","20120111","routine"
101,"100","20110602","routine"
101,"100","20100920","routine"
102,"90","20121206","routine"
102,"94","20120522","routine"
102,"94","20111118","routine"
102,"85","20110523","routine"
102,"90","20100804","routine"
104,"98","20130305","routine"
104,"98","20120410","routine"
104,"98","20110614","routine"
104,"98","20101117","routine"
108,"84","20130206","routine"
108,"96","20120123","routine"
108,"90","20110608","routine"
108,"86","20101109","routine"
111,"86","20121204","routine"
111,"90","20111026","routine"
111,"89","20110428","routine"
111,"94","20101201","routine"
114,"65","20120713","routine"
114,"79","20111102","routine"
114,"76","20110426","routine"
116,"90","20130416","routine"
116,"80","20120807","routine"
116,"96","20111025","routine"
116,"85","20110127","routine"
121,"96","20130227","routine"
121,"100","20120423","routine"
121,"100","20110913","routine"
121,"100","20110105","routine"
121,"98","20100603","routine"
125,"89","20121024","routine"
125,"94","20120322","routine"
125,"100","20110901","routine"
125,"100","20110301","routine"
126,"77","20130415","routine"
126,"70","20120717","routine"
126,"51","20110616","routine"
126,"75","20110126","routine"
126,"74","20100817","routine"
130,"92","20121109","routine"
130,"96","20120202","routine"
130,"94","20110621","routine"
130,"96","20101216","routine"
132,"87","20130131","routine"
132,"91","20120508","routine"
132,"84","20111102","routine"
132,"80","20110204","routine"
132,"82","20100706","routine"
134,"100","20121206","routine"
134,"100","20120328","routine"
134,"94","20110815","routine"
134,"100","20110216","routine"
134,"100","20100607","routine"
140,"100","20121024","routine"
140,"100","20120411","routine"
140,"96","20111012","routine"
140,"100","20110523","routine"
140,"91","20101110","routine"
