business_id,name,address,Score,date,latitude,longitude
10,TIRAMISU KITCHEN,033 BELDEN PL,98,20121114,37.791115999999995,-122.40381599999999
12,KIKKA,250 EMBARCADERO  7/F,100,20121120,37.788613,-122.39389399999999
17,GEORGE'S COFFEE SHOP,2200 OAKDALE AVE ,100,20120823,37.741085999999996,-122.40173700000001
19,NRGIZE LIFESTYLE CAFE,"1200 VAN NESS AVE, 3RD FLOOR",100,20121127,37.786848,-122.421547
24,OMNI S.F. HOTEL - 2ND FLOOR PANTRY,"500 CALIFORNIA ST, 2ND  FLOOR",100,20121018,37.792888,-122.403135
29,CHICO'S PIZZA,131 06TH ST ,87,20121228,37.774722,-122.40676100000002
31,NORMAN'S ICE CREAM AND FREEZES,2801 LEAVENWORTH ST ,100,20121217,37.807155,-122.419004
37,CAFE BISTRO,4141 GEARY BLVD ,96,20130130,37.780963,-122.46373899999999
40,MO'S COFFEE BAR,750 FOLSOM ST ,100,20121213,37.782674,-122.400456
45,CHARLIE'S DELI CAFÉ,3202 FOLSOM ST ,96,20121126,37.747114,-122.413641
48,ART'S CAFE,747 IRVING ST ,90,20130327,37.764013,-122.465749
50,SUSHI ZONE,1815  MARKET ST. ,96,20130328,37.771437,-122.423892
54,RHODA GOLDMAN PLAZA,2180 POST ST ,96,20130326,37.784626,-122.437734
56,CAFE X + O,1799 CHURCH ST ,94,20130327,37.742325,-122.426476
58,OASIS GRILL,91 DRUMM ST ,100,20130207,37.794483,-122.396584
61,CHOWDERS,PIER 39  SPACE A3,96,20130329,37.808240000000005,-122.41018899999999
63,"DELI-PUB CAFE, THE",301 CORTLAND AVE ,94,20121002,37.739268,-122.41836699999999
66,STARBUCKS COFFEE,1800 IRVING ST ,100,20130201,37.763578,-122.477461
67,REVOLUTION CAFÉ,3248 22ND ST ,90,20130129,37.755419,-122.41954199999999
71,KAPPA RESTAURANT,1700 POST ST K,100,20120529,37.785567,-122.430074
73,DINO'S PIZZA DELI,2101 FILLMORE ST ,92,20120514,37.788932,-122.43389499999999
76,OMNI S.F. HOTEL - 3RD FLOOR PANTRY,"500 CALIFORNIA ST, 3RD FLOOR",100,20121018,37.792888,-122.403135
77,OMNI S.F. HOTEL - EMPLOYEE CAFETERIA,"500 CALIFORNIA ST, BASEMENT",100,20121018,37.792888,-122.403135
80,LAW SCHOOL CAFE,2199  ST ,100,20130328,37.774941,-122.452797
81,CLUB ED/BON APPETIT,2350 TURK ST ,96,20130417,37.778468,-122.44848400000001
83,CHEZ MAMAN,1453 18TH ST ,88,20130204,37.762513,-122.39716899999999
85,EL MAJAHUAL RESTAURANT,1142 VALENCIA ST,82,20121211,37.754687,-122.42094499999999
88,J.B.'S PLACE,1435 17TH ST ,85,20130415,37.765003,-122.39808400000001
95,VEGA,419 CORTLAND AVE ,96,20120705,37.739207,-122.417447
98,XOX TRUFFLES,754 COLUMBUS AVE ,89,20121204,37.801665,-122.412104
99,A-1 CAFE RESTAURANT,779 CLAY ST ,90,20130306,37.794292999999996,-122.40596699999999
101,CABLE CAR CORNER,1099 POWELL ST ,96,20121210,37.794615,-122.409705
102,AKIKO'S SUSHI BAR,542A MASON ST ,90,20121206,37.788484000000004,-122.410045
104,INO SUSHI,22 PEACE PLAZA  #510,98,20130305,37.785018,-122.42958700000001
108,RUE LEPIC,900 PINE ST,84,20130206,37.790867999999996,-122.410854
111,PETITE DELI,752 COLUMBUS AVE ,86,20121204,37.801665,-122.412104
114,GOOD MONG KOK,1039 STOCKTON ST ,65,20120713,37.795594,-122.408204
116,THE WATERFRONT RESTAURANT,PIER 7 EMBARCADERO,90,20130416,37.793874,-122.396464
121,AKIKOS SUSHI,431 BUSH ST ,96,20130227,37.790642999999996,-122.404676
