Land;Goud;Zilver;Brons
ALGERIA;0;2;0
ARGENTINA;3;1;0
ARMENIA;1;3;0
AUSTRALIA;8;11;10
AUSTRIA;0;0;1
AZERBAIJAN;1;7;10
BAHAMAS;1;0;1
BAHRAIN;1;1;0
BELARUS;1;4;4
BELGIUM;2;2;2
BRAZIL;7;6;6
BULGARIA;0;1;2
BURUNDI;0;1;0
CANADA;4;3;15
CHINA;26;18;26
COLOMBIA;3;2;3
CÔTE D'IVOIRE;1;0;1
CROATIA;5;3;2
CUBA;5;2;4
CZECH REPUBLIC;1;2;7
DENMARK;2;6;7
DOMINICAN REPUBLIC;0;0;1
DPR KOREA;2;3;2
EGYPT;0;0;3
ESTONIA;0;0;1
ETHIOPIA;1;2;5
FIJI;1;0;0
FINLAND;0;0;1
FRANCE;10;18;14
GEORGIA;2;1;4
GERMANY;17;10;15
GREAT BRITAIN;27;23;17
GREECE;3;1;2
GRENADA;0;1;0
HUNGARY;8;3;4
INDIA;0;1;1
INDONESIA;1;2;0
IOA;1;0;1
IRAN;3;1;4
IRELAND;0;2;0
ISRAEL;0;0;2
ITALY;8;12;8
JAMAICA;6;3;2
JAPAN;12;8;21
JORDAN;1;0;0
KAZAKHSTAN;3;5;9
KENYA;6;6;1
KOSOVO;1;0;0
LITHUANIA;0;1;3
MALAYSIA;0;4;1
MEXICO;0;3;2
MONGOLIA;0;1;1
MOROCCO;0;0;1
NETHERLANDS;8;7;4
NEW ZEALAND;4;9;5
NIGER;0;1;0
NIGERIA;0;0;1
NORWAY;0;0;4
PHILIPPINES;0;1;0
POLAND;2;3;6
PORTUGAL;0;0;1
PUERTO RICO;1;0;0
QATAR;0;1;0
REPUBLIC OF KOREA;9;3;9
REPUBLIC OF MOLDOVA;0;0;1
ROMANIA;1;1;3
RUSSIAN FEDERATION;19;18;19
SERBIA;2;4;2
SINGAPORE;1;0;0
SLOVAKIA;2;2;0
SLOVENIA;1;2;1
SOUTH AFRICA;2;6;2
SPAIN;7;4;6
SWEDEN;2;6;3
SWITZERLAND;3;2;2
TAIPEI (CHINESE TAIPEI);1;0;2
TAJIKISTAN;1;0;0
THAILAND;2;2;2
TRINIDAD AND TOBAGO;0;0;1
TUNISIA;0;0;3
TURKEY;1;3;4
UKRAINE;2;5;4
UNITED ARAB EMIRATES;0;0;1
UNITED STATES;46;37;38
UZBEKISTAN;4;2;7
VENEZUELA;0;1;2
VIETNAM;1;1;0
